group,stage,n,median_ms,mean_ms,p95_ms,p99_ms
perception,sam3_detect,2,140.908,140.908,264.533,275.522
perception,sam2_track,144,58.963,57.589,79.365,101.518
perception,projection,253,25.096,26.781,42.332,57.328
perception,persistent_evict,967,2.899,3.305,6.060,9.115
perception,persistent_integrate,2384,0.841,0.989,1.829,4.735
planning,fm_encode,470,1.057,1.180,1.813,3.719
planning,fm_generation,470,62.741,64.276,79.183,92.366
planning,fm_correction,470,0.000,0.000,0.000,0.000
planning,ik,460,0.283,0.469,0.988,1.596
planning,ik_correction,470,0.000,0.000,0.000,0.000
planning,casf_warp,470,0.000,0.000,0.000,0.000
planning,trajectory_build,469,25.065,25.828,34.600,45.753
planning,planner_total,470,64.708,66.085,81.227,93.821
safety,critical_point_selection,1091,51.852,53.240,81.462,96.437
safety,cbf_correction,1502,15.291,17.033,27.350,38.089
safety,cbf_command,1502,3.133,4.027,9.969,17.789
safety,cbf_total,1502,19.459,21.388,34.171,45.376
