link,n_points,dist_median_mm,dist_MAE_mm,dist_bias_mm,dist_p99_mm,grad_median_deg,grad_p99_deg,grad_norm_mean
L3,979,1.851,2.284,-1.242,7.423,7.135,29.829,1.022
L4,962,0.959,1.272,-0.146,4.054,5.253,34.052,1.013
L5,985,2.732,2.881,-0.361,7.237,6.987,35.800,1.031
L6,857,1.204,1.434,0.061,5.973,5.476,21.916,0.999
L7,742,0.790,0.908,0.403,2.843,6.449,37.920,0.996
Main,704,1.213,1.502,0.571,4.873,6.098,22.525,1.014
Doigt G,440,1.260,1.321,-0.782,2.655,4.602,32.830,1.010
Doigt D,434,1.317,1.351,-0.821,2.654,3.681,33.023,1.047
Fourchette,849,2.680,2.695,-0.880,6.318,7.944,58.625,1.002
Tous,6952,1.398,1.829,-0.346,6.743,6.426,36.601,1.012
